PLAYER_ID,PLAYER,AVG_TTG_SG,AVG_Total_SG,AVG_Putting_SG,AVG_Scoring,TOTAL ROUNDS,AVG_Driver,%_FWY,%_GIR,VICTORIES,TOP 10
46046,Scottie Scheffler,2.401,2.496,0.095,68.01,75,303.8,60.70137096774194,73.16,7,16
48081,Xander Schauffele,1.431,1.941,0.51,68.52,83,308.5,53.33,69.97,2,15
51634,Sahith Theegala,0.687,0.944,0.257,69.8,93,305.7,64.66,67.86,0,9
52955,Ludvig Åberg,0.929,1.064,0.135,69.37,75,310.1,51.67,68.15,0,8
47504,Sam Burns,0.507,1.003,0.496,69.56,77,307.4,63.33,64.69,0,8
51766,Wyndham Clark,0.556,1.032,0.476,69.61,71,314.0,61.02,65.34,1,8
39971,Sungjae Im,0.662,0.8,0.138,69.51,91,298.8,76.67,65.13,0,8
50525,Collin Morikawa,1.082,1.203,0.121,69.34,79,296.0,81.67,65.19,0,8
29420,Billy Horschel,0.289,0.731,0.442,69.49,79,299.4,59.77,66.45,1,7
34098,Russell Henley,0.646,0.95,0.304,69.78,73,291.3,75.0,64.99,0,7
33204,Shane Lowry,0.733,0.657,-0.076,70.03,73,300.4,60.70137096774194,66.98,1,7
40250,Taylor Pendrith,0.288,0.88,0.592,69.51,79,313.6,66.96,67.03,1,7
28237,Rory McIlroy,1.239,1.412,0.173,69.74,69,320.2,60.70137096774194,65.7,2,7
32839,Hideki Matsuyama,1.386,1.268,-0.118,69.59,74,299.4,64.66,66.74,2,7
51977,Max Greyserman,0.121,0.87,0.749,69.07,81,311.0,56.67,68.54,0,6
33448,Justin Thomas,1.24,0.762,-0.478,69.62,71,309.1,57.63,65.59,0,6
57366,Cameron Young,0.496,0.262,-0.234,70.42,81,308.9,51.67,66.19,0,6
46442,Maverick McNealy,0.685,1.037,0.351,69.13,95,302.5,63.48,67.93,1,6
46414,Aaron Rai,1.131,1.185,0.054,69.29,89,293.8,83.33,71.58,1,6
52215,Robert MacIntyre,0.404,0.725,0.321,69.39,75,304.9,67.24,65.97,2,6
49771,J.T. Poston,0.234,0.486,0.252,69.87,89,293.1,78.41,66.08,1,6
35506,Mackenzie Hughes,-0.037,0.705,0.742,69.67,95,298.2,35.71,63.68,0,6
33948,Byeong Hun An,0.579,0.499,-0.079,70.01,75,317.1,60.47,67.63,0,5
54576,Patrick Fishburn,0.403,0.48,0.078,69.34,73,308.8,58.93,74.21,0,5
36699,Patrick Rodgers,0.083,0.208,0.125,69.69,100,306.1,64.29,69.83,0,5
47591,Eric Cole,0.03,0.287,0.258,70.11,111,297.2,65.22,62.67,0,5
54591,Ben Griffin,0.478,0.716,0.238,69.05,116,295.6,51.79,69.79,0,5
33399,Adam Hadwin,-0.051,-0.028,0.023,70.39,83,297.6,63.48,64.91,0,5
40162,Justin Lower,-0.149,0.201,0.35,69.59,101,295.2,60.71,69.59,0,5
24502,Adam Scott,0.54,0.938,0.399,69.63,71,307.1,60.0,66.35,0,5
29725,Tony Finau,1.33,1.033,-0.296,69.72,83,308.4,61.67,68.99,0,5
58168,Davis Thompson,1.018,1.06,0.042,69.34,94,306.3,64.77,68.64,1,5
45242,Kevin Yu,0.624,0.336,-0.288,69.53,77,308.0,73.33,71.54,1,5
51997,Andrew Novak,0.789,0.786,-0.003,69.07,86,298.7,64.29,71.15,0,5
34099,Harris English,-0.132,0.359,0.491,70.05,93,301.9,64.29,65.89,0,4
50484,Hayden Springer,0.18,0.357,0.177,69.72,75,311.1,60.70137096774194,69.21,0,4
28089,Jason Day,-0.058,0.483,0.541,69.95,73,300.8,60.0,63.45,0,4
39997,Corey Conners,1.13,0.962,-0.168,69.78,87,301.2,68.18,70.31,0,4
49960,Sepp Straka,0.223,0.205,-0.018,70.51,77,294.7,77.59,67.53,0,4
51349,Nico Echavarria,-0.061,0.023,0.083,69.53,92,295.4,60.34,70.08,1,4
33653,Thomas Detry,-0.301,0.231,0.532,69.99,70,303.3,62.93,63.35,0,4
36799,Stephan Jaeger,0.382,0.392,0.01,70.04,83,310.3,56.14,66.03,1,4
36326,David Lipsky,-0.013,-0.397,-0.385,70.38,72,289.6,55.36,68.28,0,4
27349,Alex Noren,0.798,1.011,0.213,69.41,73,295.5,60.70137096774194,68.28,0,4
39324,J.J. Spaun,0.424,0.39,-0.035,69.74,80,301.5,50.91,70.9,0,4
35450,Patrick Cantlay,0.43,0.664,0.234,69.86,69,302.7,61.67,63.08,0,4
35532,Tom Hoge,0.446,0.483,0.037,69.81,105,296.2,57.39,67.66,0,4
47993,Denny McCarthy,0.018,0.716,0.699,69.95,87,290.6,59.48,62.64,0,4
55893,Sam Stevens,0.235,0.541,0.306,69.44,102,306.3,51.79,70.01,0,4
51696,Rico Hoey,0.677,0.423,-0.254,69.52,87,309.3,63.64,70.9,0,4
40006,Erik van Rooyen,0.157,0.56,0.403,69.66,83,308.2,60.71,69.83,0,4
32791,K.H. Lee,0.054,0.209,0.155,69.83,82,301.9,67.86,67.66,0,4
51890,Greyson Sigg,0.581,0.08,-0.502,69.84,80,294.0,64.29,71.49,0,4
59866,Nick Dunlap,-0.149,-0.155,-0.006,70.38,71,307.3,50.88,64.26,2,4
48117,Kurt Kitayama,1.171,0.738,-0.433,69.54,79,308.7,58.18,68.85,0,4
39546,Keith Mitchell,1.152,0.822,-0.33,69.28,85,311.8,54.55,70.44,0,4
