RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,46414,Aaron Rai,83.33%,50,60,-0.38
2,0,50525,Collin Morikawa,81.67%,49,60,-0.47
3,-1,49771,J.T. Poston,78.41%,69,88,-0.28
4,0,49960,Sepp Straka,77.59%,90,116,-0.38
5,2,39971,Sungjae Im,76.67%,46,60,-0.50
6,3,29535,Brice Garnett,75.00%,87,116,-0.20
6,-2,34098,Russell Henley,75.00%,87,116,-0.32
6,0,30163,Henrik Norlander,75.00%,42,56,-0.14
9,0,40026,Daniel Berger,74.07%,20,27,-0.15
10,4,45242,Kevin Yu,73.33%,44,60,-0.36
11,0,25900,Lucas Glover,73.21%,41,56,-0.24
12,6,39977,Max Homa,71.67%,43,60,-0.37
13,0,46443,Brian Campbell,71.43%,10,14,-0.40
13,0,49120,Kensei Hirata,71.43%,40,56,-0.35
13,0,36801,Mark Hubbard,71.43%,40,56,-0.30
13,0,47917,Takumi Kanaya,71.43%,20,28,-0.05
13,0,36884,Ben Kohles,71.43%,40,56,-0.15
18,-12,25493,Nick Taylor,70.69%,82,116,-0.29
19,-5,57362,Austin Eckroat,70.45%,62,88,-0.29
20,0,39975,Michael Kim,70.37%,19,27,-0.21
21,0,24024,Zach Johnson,69.64%,39,56,-0.28
21,0,36824,Paul Peterson,69.64%,39,56,-0.38
23,-1,47483,Will Zalatoris,68.33%,41,60,-0.29
24,-10,39997,Corey Conners,68.18%,60,88,-0.43
25,0,59440,Ricky Castillo,67.86%,19,28,-0.21
25,0,23108,Matt Kuchar,67.86%,38,56,-0.32
25,0,32791,K.H. Lee,67.86%,19,28,-0.05
25,0,59160,John Pak,67.86%,19,28,-0.11
25,0,35658,Kris Ventura,67.86%,19,28,-0.16
25,0,52513,Carson Young,67.86%,19,28,-0.21
31,-24,52215,Robert MacIntyre,67.24%,78,116,-0.31
31,-22,59141,Matt McCarty,67.24%,78,116,-0.21
33,-8,37455,Si Woo Kim,67.05%,59,88,-0.37
34,-9,40250,Taylor Pendrith,66.96%,77,115,-0.36
35,-10,56630,Akshay Bhatia,66.67%,40,60,-0.33
35,-10,40098,Matt Fitzpatrick,66.67%,40,60,-0.40
35,0,48867,Matti Schmid,66.67%,18,27,-0.17
38,0,34256,Andrew Putnam,66.07%,37,56,-0.05
38,0,27649,Brandt Snedeker,66.07%,37,56,-0.27
38,0,31323,Gary Woodland,66.07%,37,56,-0.24
41,0,33413,Ben Martin,65.45%,36,55,-0.19
42,-20,47591,Eric Cole,65.22%,75,115,-0.31
43,-10,46717,Viktor Hovland,65.00%,39,60,-0.41
44,-11,58168,Davis Thompson,64.77%,57,88,-0.40
45,-20,33141,Keegan Bradley,64.66%,75,116,-0.40
45,-26,27644,Brian Harman,64.66%,75,116,-0.16
45,-36,32839,Hideki Matsuyama,64.66%,75,116,-0.45
45,-23,51634,Sahith Theegala,64.66%,75,116,-0.29
49,0,34099,Harris English,64.29%,18,28,E
49,0,57123,Steven Fisk,64.29%,18,28,-0.17
49,0,51997,Andrew Novak,64.29%,18,28,-0.28
49,0,36699,Patrick Rodgers,64.29%,18,28,-0.28
49,0,39335,Kevin Roy,64.29%,36,56,-0.28
49,0,51890,Greyson Sigg,64.29%,36,56,-0.14
49,0,27214,Kevin Streelman,64.29%,36,56,-0.22
49,0,38991,Alejandro Tosti,64.29%,18,28,-0.33
57,0,51696,Rico Hoey,63.64%,35,55,-0.23
57,-38,30926,Chris Kirk,63.64%,56,88,-0.41
