PLAYER_ID,PLAYER,SG_T,SG_P,SG_ATG,SP_APP,SG_OTT,Average_Score,ROUNDS,GIR_%,FWY_%,Drive_Distance,VICTORIES,TOP 10
46046,Scottie Scheffler,2.496,0.095,0.316,1.269,0.816,68.01,75,73.16,60.70137096774194,303.8,7,16
48081,Xander Schauffele,1.941,0.51,0.195,0.678,0.557,68.52,83,69.97,53.33,308.5,2,15
51634,Sahith Theegala,0.944,0.257,0.064,0.272,0.35,69.8,93,67.86,64.66,305.7,0,9
39971,Sungjae Im,0.8,0.138,0.264,0.054,0.344,69.51,91,65.13,76.67,298.8,0,8
50525,Collin Morikawa,1.203,0.121,0.374,0.292,0.417,69.34,79,65.19,81.67,296.0,0,8
51766,Wyndham Clark,1.032,0.476,0.061,0.075,0.42,69.61,71,65.34,61.02,314.0,1,8
47504,Sam Burns,1.003,0.496,0.069,0.173,0.265,69.56,77,64.69,63.33,307.4,0,8
52955,Ludvig Åberg,1.064,0.135,-0.008,0.434,0.502,69.37,75,68.15,51.67,310.1,0,8
32839,Hideki Matsuyama,1.268,-0.118,0.58,0.499,0.306,69.59,74,66.74,64.66,299.4,2,7
34098,Russell Henley,0.95,0.304,0.289,0.343,0.014,69.78,73,64.99,75.0,291.3,0,7
29420,Billy Horschel,0.731,0.442,0.136,0.007,0.146,69.49,79,66.45,59.77,299.4,1,7
33204,Shane Lowry,0.657,-0.076,-0.033,0.531,0.234,70.03,73,66.98,60.70137096774194,300.4,1,7
40250,Taylor Pendrith,0.88,0.592,-0.047,0.186,0.149,69.51,79,67.03,66.96,313.6,1,7
28237,Rory McIlroy,1.412,0.173,0.248,0.26,0.73,69.74,69,65.7,60.70137096774194,320.2,2,7
33448,Justin Thomas,0.762,-0.478,0.466,0.639,0.135,69.62,71,65.59,57.63,309.1,0,6
57366,Cameron Young,0.262,-0.234,0.005,0.116,0.375,70.42,81,66.19,51.67,308.9,0,6
46414,Aaron Rai,1.185,0.054,0.152,0.676,0.303,69.29,89,71.58,83.33,293.8,1,6
46442,Maverick McNealy,1.037,0.351,0.374,-0.08,0.391,69.13,95,67.93,63.48,302.5,1,6
52215,Robert MacIntyre,0.725,0.321,0.166,-0.051,0.288,69.39,75,65.97,67.24,304.9,2,6
51977,Max Greyserman,0.87,0.749,-0.072,0.013,0.18,69.07,81,68.54,56.67,311.0,0,6
35506,Mackenzie Hughes,0.705,0.742,0.444,-0.192,-0.289,69.67,95,63.68,35.71,298.2,0,6
49771,J.T. Poston,0.486,0.252,0.233,0.012,-0.011,69.87,89,66.08,78.41,293.1,1,6
51997,Andrew Novak,0.786,-0.003,0.2,0.43,0.159,69.07,86,71.15,64.29,298.7,0,5
