PLAYER_ID,PLAYER,RANK_T,SG_T,RANK_P,SG_P,RANK_OTT,SG_OTT,RANK_APP,SG_APP,RANK_ATG,SG_ATG
46046,Scottie Scheffler,1,2.496,77,0.095,2,0.816,1,1.269,17,0.316
48081,Xander Schauffele,2,1.941,12,0.51,10,0.557,6,0.678,42,0.195
28237,Rory McIlroy,3,1.412,59,0.173,4,0.73,52,0.26,28,0.248
32839,Hideki Matsuyama,4,1.268,121,-0.118,33,0.306,15,0.499,1,0.58
50525,Collin Morikawa,5,1.203,73,0.121,19,0.417,42,0.292,10,0.374
46414,Aaron Rai,6,1.185,87,0.054,34,0.303,7,0.676,56,0.152
52955,Ludvig Åberg,7,1.064,67,0.135,14,0.502,21,0.434,105,-0.008
58168,Davis Thompson,8,1.06,90,0.042,38,0.28,38,0.306,5,0.432
46442,Maverick McNealy,9,1.037,29,0.351,23,0.391,118,-0.08,10,0.374
29725,Tony Finau,10,1.033,156,-0.296,68,0.161,2,0.808,12,0.36
51766,Wyndham Clark,11,1.032,19,0.476,18,0.42,96,0.075,83,0.061
27349,Alex Noren,12,1.011,54,0.213,79,0.118,43,0.286,8,0.394
47504,Sam Burns,13,1.003,14,0.496,44,0.265,73,0.173,80,0.069
39997,Corey Conners,14,0.962,128,-0.168,21,0.411,3,0.776,124,-0.057
34098,Russell Henley,15,0.95,39,0.304,106,0.014,33,0.343,21,0.289
51634,Sahith Theegala,16,0.944,48,0.257,28,0.35,44,0.272,81,0.064
24502,Adam Scott,17,0.938,27,0.399,31,0.321,88,0.114,71,0.104
40250,Taylor Pendrith,18,0.88,5,0.592,70,0.149,68,0.186,118,-0.047
52375,Doug Ghim,19,0.871,135,-0.191,20,0.413,8,0.659,106,-0.011
51977,Max Greyserman,20,0.87,2,0.749,63,0.18,104,0.013,128,-0.072
39546,Keith Mitchell,21,0.822,159,-0.33,7,0.615,12,0.531,101,0.006
39971,Sungjae Im,22,0.8,65,0.138,29,0.344,99,0.054,25,0.264
27644,Brian Harman,23,0.788,40,0.291,88,0.083,35,0.322,74,0.092
51997,Andrew Novak,24,0.786,100,-0.003,69,0.159,23,0.43,40,0.2
33448,Justin Thomas,25,0.762,174,-0.478,72,0.135,9,0.639,3,0.466
37455,Si Woo Kim,26,0.761,140,-0.218,38,0.28,14,0.506,43,0.193
56630,Akshay Bhatia,27,0.748,33,0.345,59,0.188,48,0.264,119,-0.048
48117,Kurt Kitayama,28,0.738,171,-0.433,16,0.446,10,0.608,66,0.118
29420,Billy Horschel,29,0.731,21,0.442,71,0.146,107,0.007,64,0.136
52215,Robert MacIntyre,30,0.725,35,0.321,37,0.288,113,-0.051,51,0.166
46717,Viktor Hovland,31,0.721,44,0.269,13,0.507,18,0.458,180,-0.514
39327,Ben Silverman,32,0.717,8,0.55,83,0.097,110,-0.008,77,0.078
47993,Denny McCarthy,33,0.716,4,0.699,155,-0.324,111,-0.017,14,0.358
54591,Ben Griffin,33,0.716,52,0.238,130,-0.12,34,0.327,23,0.271
59143,Mac Meissner,35,0.706,110,-0.056,62,0.184,26,0.405,45,0.172
35506,Mackenzie Hughes,36,0.705,3,0.742,153,-0.289,136,-0.192,4,0.444
57975,Harry Hall,37,0.672,43,0.279,139,-0.181,77,0.167,6,0.406
35450,Patrick Cantlay,38,0.664,53,0.234,61,0.187,102,0.024,35,0.218
30911,Tommy Fleetwood,39,0.659,92,0.04,35,0.302,92,0.099,35,0.218
33204,Shane Lowry,40,0.657,112,-0.076,53,0.234,12,0.531,114,-0.033
25900,Lucas Glover,41,0.646,139,-0.215,112,-0.017,5,0.71,48,0.168
45522,Christiaan Bezuidenhout,42,0.641,20,0.459,144,-0.233,58,0.237,44,0.177
35461,Beau Hossler,43,0.593,14,0.496,85,0.086,156,-0.374,9,0.385
27064,Jhonattan Vegas,44,0.565,151,-0.28,8,0.611,22,0.433,146,-0.198
40006,Erik van Rooyen,45,0.56,26,0.403,40,0.278,94,0.095,149,-0.216
60004,Jacob Bridgeman,46,0.557,7,0.584,151,-0.251,95,0.084,59,0.14
55893,Sam Stevens,47,0.541,38,0.306,17,0.433,143,-0.296,72,0.098
29908,C.T. Pan,47,0.541,89,0.045,114,-0.023,81,0.159,12,0.36
34587,Chan Kim,49,0.508,164,-0.412,51,0.242,31,0.354,16,0.323
33948,Byeong Hun An,50,0.499,113,-0.079,22,0.404,70,0.181,104,-0.006
49771,J.T. Poston,51,0.486,50,0.252,110,-0.011,105,0.012,31,0.233
35532,Tom Hoge,52,0.483,93,0.037,120,-0.062,4,0.754,160,-0.247
28089,Jason Day,52,0.483,9,0.541,74,0.132,152,-0.343,55,0.153
47679,Victor Perez,54,0.482,70,0.126,87,0.084,39,0.305,114,-0.033
54576,Patrick Fishburn,55,0.48,80,0.078,6,0.616,119,-0.083,139,-0.13
37378,Min Woo Lee,56,0.478,118,-0.11,5,0.69,139,-0.213,68,0.111
57900,Chandler Phillips,57,0.453,34,0.322,108,0.005,91,0.101,98,0.026
30163,Henrik Norlander,58,0.448,131,-0.178,103,0.034,11,0.571,99,0.021
51696,Rico Hoey,59,0.423,147,-0.254,9,0.586,83,0.155,127,-0.064
40098,Matt Fitzpatrick,60,0.406,23,0.417,102,0.036,127,-0.122,79,0.075
36799,Stephan Jaeger,61,0.392,99,0.01,32,0.309,120,-0.086,54,0.159
39324,J.J. Spaun,62,0.39,108,-0.035,111,-0.016,17,0.469,112,-0.029
28252,Seamus Power,63,0.377,91,0.041,95,0.059,57,0.238,95,0.039
55182,Tom Kim,64,0.371,114,-0.081,74,0.132,49,0.263,86,0.057
34099,Harris English,65,0.359,16,0.491,84,0.095,149,-0.325,73,0.097
50484,Hayden Springer,66,0.357,58,0.177,42,0.269,125,-0.119,96,0.031
33141,Keegan Bradley,67,0.34,125,-0.141,67,0.173,41,0.301,100,0.008
45242,Kevin Yu,68,0.336,153,-0.288,12,0.539,36,0.319,155,-0.233
24024,Zach Johnson,69,0.318,22,0.42,124,-0.099,126,-0.121,67,0.117
48887,Matt Wallace,70,0.317,82,0.069,150,-0.246,60,0.225,24,0.268
34021,Bud Cauley,71,0.313,130,-0.175,65,0.176,80,0.161,57,0.15
48867,Matti Schmid,72,0.311,46,0.26,47,0.259,100,0.035,157,-0.243
57362,Austin Eckroat,73,0.301,129,-0.172,30,0.333,27,0.395,157,-0.243
34256,Andrew Putnam,74,0.297,41,0.289,170,-0.485,63,0.212,22,0.28
36801,Mark Hubbard,74,0.297,98,0.017,98,0.054,53,0.249,108,-0.024
32757,Patton Kizzire,76,0.288,127,-0.167,120,-0.062,18,0.458,85,0.059
40026,Daniel Berger,77,0.287,163,-0.404,24,0.385,62,0.218,75,0.087
47591,Eric Cole,77,0.287,47,0.258,159,-0.346,66,0.204,45,0.172
51287,Ryo Hisatsune,79,0.271,84,0.065,101,0.041,70,0.181,107,-0.016
34046,Jordan Spieth,80,0.265,101,-0.006,15,0.5,138,-0.204,108,-0.024
57366,Cameron Young,81,0.262,145,-0.234,25,0.375,87,0.116,102,0.005
52513,Carson Young,82,0.257,68,0.129,36,0.301,85,0.153,170,-0.327
23108,Matt Kuchar,83,0.245,29,0.351,143,-0.228,128,-0.124,29,0.245
32367,Jorge Campillo,84,0.241,118,-0.11,123,-0.096,82,0.157,20,0.29
28775,Nate Lashley,85,0.236,88,0.047,148,-0.243,63,0.212,34,0.219
33653,Thomas Detry,86,0.231,10,0.532,78,0.12,137,-0.196,151,-0.226
34255,Joseph Bramlett,87,0.216,173,-0.472,26,0.355,90,0.103,32,0.23
49947,Taylor Moore,88,0.21,55,0.19,46,0.261,142,-0.289,92,0.048
32791,K.H. Lee,89,0.209,62,0.155,79,0.118,140,-0.233,48,0.168
36699,Patrick Rodgers,90,0.208,71,0.125,58,0.189,135,-0.191,76,0.086
49960,Sepp Straka,91,0.205,104,-0.018,48,0.253,40,0.303,172,-0.333
40162,Justin Lower,92,0.201,31,0.35,145,-0.234,78,0.166,131,-0.081
39975,Michael Kim,93,0.184,78,0.084,147,-0.239,37,0.311,97,0.027
32333,Kevin Tway,94,0.145,28,0.362,64,0.177,174,-0.565,47,0.171
25493,Nick Taylor,95,0.133,109,-0.042,130,-0.12,55,0.243,90,0.051
29936,Ryan Fox,96,0.132,56,0.181,66,0.175,106,0.008,154,-0.232
12716,Charley Hoffman,97,0.116,146,-0.241,72,0.135,74,0.17,89,0.052
50095,Austin Smotherman,98,0.108,176,-0.557,52,0.236,20,0.456,111,-0.027
30926,Chris Kirk,99,0.105,170,-0.427,43,0.266,83,0.155,69,0.11
33968,Thorbjørn Olesen,100,0.101,51,0.251,163,-0.372,103,0.022,40,0.2
40115,Adam Svensson,101,0.1,172,-0.447,95,0.059,32,0.344,58,0.145
51890,Greyson Sigg,102,0.08,175,-0.502,122,-0.066,25,0.414,30,0.234
33486,Roger Sloan,103,0.069,56,0.181,160,-0.348,93,0.098,60,0.139
31646,Emiliano Grillo,104,0.05,68,0.129,97,0.057,44,0.272,177,-0.408
54783,Dylan Wu,105,0.045,76,0.103,152,-0.287,72,0.18,92,0.048
60067,Joe Highsmith,106,0.026,150,-0.269,92,0.066,97,0.061,50,0.167
51349,Nico Echavarria,107,0.023,79,0.083,116,-0.029,101,0.03,126,-0.062
47483,Will Zalatoris,108,0.016,132,-0.181,76,0.128,67,0.197,138,-0.127
26596,Ryan Moore,109,0.013,177,-0.58,118,-0.048,24,0.427,37,0.214
48153,Matthieu Pavon,110,-0.014,71,0.125,104,0.027,53,0.249,178,-0.414
33399,Adam Hadwin,111,-0.028,96,0.023,109,-0.002,114,-0.053,103,0.004
34563,Chesson Hadley,112,-0.046,45,0.265,94,0.062,131,-0.154,150,-0.22
39977,Max Homa,113,-0.054,106,-0.025,164,-0.383,86,0.145,39,0.208
47983,Chad Ramey,114,-0.057,25,0.406,129,-0.116,162,-0.402,87,0.056
34076,Joel Dahmen,115,-0.073,181,-0.693,40,0.278,16,0.486,141,-0.144
59836,Pierceson Coody,116,-0.074,13,0.505,89,0.072,159,-0.378,163,-0.273
52514,Trace Crowe,117,-0.075,81,0.074,134,-0.134,117,-0.069,88,0.055
40058,Zac Blair,118,-0.087,120,-0.114,154,-0.294,89,0.11,38,0.21
47988,Nick Hardy,119,-0.093,135,-0.191,48,0.253,61,0.223,175,-0.378
30927,Brendon Todd,120,-0.112,24,0.409,166,-0.398,164,-0.423,19,0.3
48084,Wesley Bryan,121,-0.118,126,-0.158,100,0.047,129,-0.142,65,0.135
35310,Lanto Griffin,122,-0.133,123,-0.129,56,0.204,76,0.168,174,-0.377
59095,Chris Gotterup,123,-0.139,117,-0.083,48,0.253,163,-0.419,70,0.109
29221,Webb Simpson,124,-0.144,157,-0.299,125,-0.1,148,-0.321,2,0.576
29535,Brice Garnett,125,-0.15,169,-0.424,136,-0.173,69,0.185,26,0.263
59866,Nick Dunlap,126,-0.155,101,-0.006,149,-0.245,65,0.205,134,-0.109
27139,David Skinns,127,-0.159,115,-0.082,145,-0.234,46,0.27,136,-0.113
52372,Cameron Champ,128,-0.16,37,0.31,1,0.883,181,-0.716,182,-0.637
52453,Nicolai Højgaard,129,-0.176,144,-0.231,107,0.013,30,0.359,168,-0.316
51894,Vince Whaley,130,-0.177,11,0.518,175,-0.62,151,-0.337,26,0.263
50188,S.H. Kim,130,-0.177,16,0.491,142,-0.206,176,-0.626,52,0.164
26476,Chez Reavie,132,-0.198,155,-0.292,168,-0.437,28,0.394,63,0.137
54628,Lee Hodges,133,-0.209,158,-0.302,114,-0.023,29,0.363,160,-0.247
32102,Rickie Fowler,134,-0.21,66,0.136,137,-0.18,124,-0.117,121,-0.049
52666,Sami Valimaki,135,-0.211,85,0.06,91,0.067,112,-0.036,165,-0.303
27936,Martin Laird,136,-0.218,61,0.164,161,-0.357,150,-0.328,18,0.303
31323,Gary Woodland,137,-0.22,143,-0.229,99,0.053,47,0.268,166,-0.312
27214,Kevin Streelman,138,-0.238,138,-0.205,93,0.064,114,-0.053,117,-0.044
59442,Parker Coody,139,-0.289,141,-0.223,135,-0.148,56,0.242,142,-0.159
32640,Troy Merritt,140,-0.293,161,-0.381,133,-0.123,79,0.163,91,0.049
32366,Kevin Chappell,141,-0.299,86,0.058,128,-0.112,145,-0.307,82,0.063
27129,Luke List,142,-0.316,103,-0.01,81,0.103,133,-0.16,162,-0.25
47420,Jake Knapp,143,-0.323,115,-0.082,117,-0.045,108,0.001,145,-0.197
50493,Justin Suh,144,-0.324,6,0.589,141,-0.203,170,-0.523,144,-0.187
36884,Ben Kohles,145,-0.348,137,-0.201,105,0.015,75,0.169,171,-0.332
46340,Alex Smalley,146,-0.351,168,-0.418,27,0.352,120,-0.086,146,-0.198
46441,Robby Shelton,147,-0.353,94,0.036,173,-0.577,134,-0.162,15,0.351
36326,David Lipsky,148,-0.397,162,-0.385,167,-0.415,49,0.263,60,0.139
47347,Adam Schenk,149,-0.411,95,0.026,59,0.188,171,-0.531,133,-0.094
37275,Sam Ryder,150,-0.422,122,-0.127,156,-0.332,49,0.263,152,-0.227
45157,Cam Davis,151,-0.426,147,-0.254,127,-0.109,123,-0.105,94,0.041
22405,Justin Rose,152,-0.445,97,0.022,119,-0.061,157,-0.377,112,-0.029
52374,Brandon Wu,153,-0.458,124,-0.138,169,-0.478,109,-0.006,52,0.164
36871,Matt NeSmith,154,-0.484,133,-0.187,113,-0.02,116,-0.065,148,-0.213
22371,Aaron Baddeley,155,-0.499,18,0.487,182,-1.031,153,-0.359,7,0.404
47663,Kevin Dougherty,156,-0.539,165,-0.414,3,0.766,169,-0.518,173,-0.372
56149,Wilson Furr,157,-0.55,105,-0.024,126,-0.102,161,-0.399,110,-0.025
34466,Peter Malnati,158,-0.578,48,0.257,174,-0.589,146,-0.308,83,0.061
54421,Garrick Higgo,159,-0.583,83,0.066,140,-0.184,157,-0.377,132,-0.088
48319,Tom Whitney,160,-0.602,180,-0.637,57,0.197,59,0.231,176,-0.392
45609,Tyler Duncan,161,-0.625,142,-0.224,45,0.264,172,-0.541,137,-0.124
47995,Davis Riley,162,-0.63,41,0.289,162,-0.36,168,-0.486,129,-0.074
55789,Taylor Montgomery,163,-0.704,1,0.866,184,-1.352,165,-0.442,33,0.224
38991,Alejandro Tosti,164,-0.713,165,-0.414,11,0.547,175,-0.602,159,-0.244
32070,Rafael Campos,165,-0.723,153,-0.288,137,-0.18,97,0.061,167,-0.315
55708,Hayden Buckley,166,-0.746,152,-0.284,90,0.069,144,-0.298,155,-0.233
46113,Ryan McCormick,167,-0.786,60,0.17,171,-0.52,130,-0.151,164,-0.284
55454,Carl Yuan,168,-0.807,179,-0.63,54,0.23,153,-0.359,119,-0.048
23320,Ryan Palmer,169,-0.875,165,-0.414,77,0.125,167,-0.475,135,-0.111
33408,Tyson Alexander,170,-0.883,36,0.314,179,-0.806,166,-0.468,78,0.077
48119,Ben Taylor,171,-1.067,74,0.113,177,-0.675,177,-0.644,60,0.139
27649,Brandt Snedeker,172,-1.164,63,0.147,172,-0.561,180,-0.697,123,-0.054
50497,Adrien Dumont de Chassart,173,-1.207,149,-0.266,157,-0.336,160,-0.379,152,-0.227
48699,Callum Tarren,174,-1.247,178,-0.629,158,-0.344,122,-0.092,143,-0.182
28420,Ryan Brehm,175,-1.336,160,-0.363,81,0.103,173,-0.555,181,-0.521
51070,Vincent Norrman,176,-1.374,184,-0.954,55,0.214,147,-0.313,169,-0.322
35617,Martin Trainer,177,-1.381,32,0.347,176,-0.649,183,-1.028,122,-0.051
60767,Blaine Hale Jr.,178,-1.388,133,-0.187,165,-0.384,132,-0.157,183,-0.661
27330,Josh Teater,179,-1.421,183,-0.862,132,-0.122,155,-0.36,130,-0.077
29478,Kevin Kisner,180,-1.691,75,0.105,178,-0.732,178,-0.65,178,-0.414
37212,Paul Barjon,181,-1.804,111,-0.059,86,0.085,182,-0.898,184,-0.932
34374,Erik Barnes,182,-1.868,107,-0.028,183,-1.143,179,-0.662,116,-0.035
47806,Raul Pereda,183,-1.879,64,0.142,180,-0.836,184,-1.047,140,-0.137
27770,Camilo Villegas,184,-1.988,182,-0.72,181,-0.96,141,-0.251,124,-0.057
